Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price,Title,SubTitle
6,0,Sleepy's Flute,2,34,Amber,Rare,$0.31,$1.27,Sleepy's Flute,
9,0,Arthur*Wizard's Apprentice,2,35,Amethyst,Super Rare,$0.64,$1.13,Arthur,Wizard's Apprentice
12,2,Blue Fairy*Rewarding Good Deeds,2,36,Amethyst,Uncommon,$0.19,$1.14,Blue Fairy,Rewarding Good Deeds
17,0,Chip the Teacup*Gentle Soul,2,37,Amethyst,Common,$0.04,$0.17,Chip the Teacup,Gentle Soul
20,1,Dr. Facilier*Savvy Opportunist,2,38,Amethyst,Common,$0.04,$0.21,Dr. Facilier,Savvy Opportunist
10,1,Elsa*Gloves Off,2,39,Amethyst,Common,$0.09,$0.27,Elsa,Gloves Off
8,0,Fairy Godmother*Here to Help,2,40,Amethyst,Uncommon,$0.07,$0.37,Fairy Godmother,Here to Help
5,0,Fairy Godmother*Mystic Armorer,2,41,Amethyst,Legendary,$3.03,$8.76,Fairy Godmother,Mystic Armorer
13,2,Fairy Godmother*Pure Heart,2,42,Amethyst,Common,$0.07,$0.26,Fairy Godmother,Pure Heart
17,0,HeiHei*Persistent Presence,2,43,Amethyst,Uncommon,$0.06,$0.46,HeiHei,Persistent Presence
15,2,Jiminy Cricket*Pinocchio's Conscience,2,44,Amethyst,Common,$0.06,$0.21,Jiminy Cricket,Pinocchio's Conscience
22,0,Kuzco*Wanted Llama,2,45,Amethyst,Common,$0.09,$0.51,Kuzco,Wanted Llama
12,0,Madam Mim*Fox,2,46,Amethyst,Rare,$3.82,$33.61,Madam Mim,Fox
5,1,Madam Mim*Purple Dragon,2,47,Amethyst,Legendary,$2.00,$7.84,Madam Mim,Purple Dragon
7,1,Madam Mim*Rival of Merlin,2,48,Amethyst,Rare,$0.18,$0.71,Madam Mim,Rival of Merlin
19,1,Madam Mim*Snake,2,49,Amethyst,Uncommon,$0.16,$11.71,Madam Mim,Snake
21,1,Merlin*Crab,2,50,Amethyst,Common,$0.12,$3.26,Merlin,Crab
14,0,Merlin*Goat,2,51,Amethyst,Uncommon,$0.22,$16.01,Merlin,Goat
8,1,Merlin*Rabbit,2,52,Amethyst,Rare,$1.09,$26.74,Merlin,Rabbit
5,4,Merlin*Shapeshifter,2,53,Amethyst,Rare,$0.15,$0.36,Merlin,Shapeshifter
17,0,Merlin*Squirrel,2,54,Amethyst,Common,$0.09,$0.29,Merlin,Squirrel
6,0,Peter Pan's Shadow*Not Sewn On,2,55,Amethyst,Super Rare,$0.29,$1.09,Peter Pan's Shadow,Not Sewn On
8,1,Pinocchio*Star Attraction,2,56,Amethyst,Rare,$0.93,$2.13,Pinocchio,Star Attraction
7,0,Pinocchio*On the Run,2,57,Amethyst,Uncommon,$0.11,$0.28,Pinocchio,On the Run
10,2,Pinocchio*Talkative Puppet,2,58,Amethyst,Uncommon,$0.16,$0.64,Pinocchio,Talkative Puppet
15,1,Winnie the Pooh*Hunny Wizard,2,59,Amethyst,Common,$0.12,$0.42,Winnie the Pooh,Hunny Wizard
8,0,Yzma*Scary Beyond All Reason,2,60,Amethyst,Super Rare,$0.38,$1.97,Yzma,Scary Beyond All Reason
10,0,Yzma*Without Beauty Sleep,2,61,Amethyst,Uncommon,$0.09,$0.30,Yzma,Without Beauty Sleep
7,0,Gruesome and Grim,2,62,Amethyst,Rare,$0.17,$0.50,Gruesome and Grim,
21,0,I'm Stuck!,2,63,Amethyst,Common,$0.11,$0.27,I'm Stuck!,
12,1,Legend of the Sword in the Stone,2,64,Amethyst,Common,$0.07,$0.17,Legend of the Sword in the Stone,
11,1,Binding Contract,2,65,Amethyst,Uncommon,$0.08,$0.22,Binding Contract,
12,3,Croquet Mallet,2,66,Amethyst,Common,$0.05,$0.17,Croquet Mallet,
7,2,Perplexing Signposts,2,67,Amethyst,Rare,$0.13,$0.54,Perplexing Signposts,
5,0,The Sorcerer's Spellbook,2,68,Amethyst,Rare,$0.38,$1.87,The Sorcerer's Spellbook,
12,3,Arthur*Trained Swordsman,2,69,Emerald,Common,$0.06,$0.19,Arthur,Trained Swordsman
7,0,Beast*Relentless,2,70,Emerald,Legendary,$3.87,$10.48,Beast,Relentless
11,1,Belle*Bookworm,2,71,Emerald,Uncommon,$0.14,$0.39,Belle,Bookworm
6,0,Belle*Hidden Archer,2,72,Emerald,Legendary,$7.32,$13.79,Belle,Hidden Archer
13,1,Bucky*Squirrel Squeak Tutor,2,73,Emerald,Uncommon,$0.16,$0.63,Bucky,Squirrel Squeak Tutor
11,0,Cheshire Cat*Always Grinning,2,74,Emerald,Uncommon,$0.12,$0.39,Cheshire Cat,Always Grinning
5,2,Cheshire Cat*From the Shadows,2,75,Emerald,Super Rare,$0.32,$1.33,Cheshire Cat,From the Shadows
11,0,Daisy Duck*Secret Agent,2,76,Emerald,Uncommon,$0.15,$0.65,Daisy Duck,Secret Agent
9,1,Donald Duck*Perfect Gentleman,2,77,Emerald,Uncommon,$0.16,$0.38,Donald Duck,Perfect Gentleman
12,1,Donald Duck*Sleepwalker,2,78,Emerald,Common,$0.05,$0.23,Donald Duck,Sleepwalker
5,1,Dr. Facilier*Fortune Teller,2,79,Emerald,Super Rare,$0.25,$0.64,Dr. Facilier,Fortune Teller
15,1,Enchantress*Unexpected Judge,2,80,Emerald,Common,$0.09,$0.25,Enchantress,Unexpected Judge
13,2,Flynn Rider*Confident Vagabond,2,81,Emerald,Common,$0.10,$0.27,Flynn Rider,Confident Vagabond
6,0,Flynn Rider*His Own Biggest Fan,2,82,Emerald,Rare,$0.33,$0.93,Flynn Rider,His Own Biggest Fan
14,3,Gaston*Scheming Suitor,2,83,Emerald,Common,$0.05,$0.17,Gaston,Scheming Suitor
9,3,Little John*Loyal Friend,2,84,Emerald,Rare,$0.21,$0.46,Little John,Loyal Friend
10,0,Lucifer*Cunning Cat,2,85,Emerald,Rare,$0.19,$1.73,Lucifer,Cunning Cat
7,1,Pain*Underworld Imp,2,86,Emerald,Uncommon,$0.09,$0.34,Pain,Underworld Imp
16,1,Panic*Underworld Imp,2,87,Emerald,Common,$0.07,$0.20,Panic,Underworld Imp
8,1,Pete*Bad Guy,2,88,Emerald,Rare,$0.20,$0.75,Pete,Bad Guy
4,0,Prince John*Greediest of All,2,89,Emerald,Rare,$2.22,$9.11,Prince John,Greediest of All
15,1,Queen of Hearts*Quick-Tempered,2,90,Emerald,Common,$0.05,$0.25,Queen of Hearts,Quick-Tempered
12,0,Ratigan*Criminal Mastermind,2,91,Emerald,Common,$0.08,$0.18,Ratigan,Criminal Mastermind
15,2,Ray*Easygoing Firefly,2,92,Emerald,Common,$0.08,$0.22,Ray,Easygoing Firefly
7,1,The Queen*Disguised Peddler,2,93,Emerald,Super Rare,$0.27,$1.14,The Queen,Disguised Peddler
10,2,Tiana*True Princess,2,94,Emerald,Uncommon,$0.14,$0.41,Tiana,True Princess
16,1,Virana*Fang Chief,2,95,Emerald,Common,$0.05,$0.14,Virana,Fang Chief
8,0,Bibbidi Bobbidi Boo,2,96,Emerald,Rare,$0.36,$2.46,Bibbidi Bobbidi Boo,
7,1,Bounce,2,97,Emerald,Uncommon,$0.11,$0.30,Bounce,
15,1,Hypnotize,2,98,Emerald,Common,$0.11,$0.65,Hypnotize,
21,2,Improvise,2,99,Emerald,Common,$0.09,$0.26,Improvise,
9,0,Pack Tactics,2,100,Emerald,Rare,$0.31,$0.68,Pack Tactics,
9,1,Ring the Bell,2,101,Emerald,Uncommon,$0.13,$0.35,Ring the Bell,
5,0,Ratigan's Marvelous Trap,2,102,Emerald,Rare,$0.16,$0.43,Ratigan's Marvelous Trap,
13,1,Baloo*Fun-Loving Bear,2,103,Ruby,Common,$0.06,$0.21,Baloo,Fun-Loving Bear
14,3,Boun*Precocious Entrepreneur,2,104,Ruby,Common,$0.05,$0.20,Boun,Precocious Entrepreneur
7,0,Card Soldiers*Full Deck,2,105,Ruby,Uncommon,$0.06,$0.28,Card Soldiers,Full Deck
6,0,Donald Duck*Not Again!,2,106,Ruby,Legendary,$1.15,$5.29,Donald Duck,Not Again!
16,1,Felicia*Always Hungry,2,107,Ruby,Common,$0.08,$0.30,Felicia,Always Hungry
12,3,Fidget*Ratigan's Henchman,2,108,Ruby,Common,$0.05,$0.15,Fidget,Ratigan's Henchman
5,2,Honest John*Not That Honest,2,109,Ruby,Rare,$0.15,$0.55,Honest John,Not That Honest
7,0,Lady Tremaine*Imperious Queen,2,110,Ruby,Super Rare,$3.25,$7.16,Lady Tremaine,Imperious Queen
11,1,Lady Tremaine*Overbearing Matriarch,2,111,Ruby,Common,$0.07,$0.24,Lady Tremaine,Overbearing Matriarch
7,1,Lumiere*Hotheaded Candelabra,2,112,Ruby,Rare,$0.14,$0.51,Lumiere,Hotheaded Candelabra
12,1,Minnie Mouse*Stylish Surfer,2,113,Ruby,Uncommon,$0.16,$0.73,Minnie Mouse,Stylish Surfer
6,2,Minnie Mouse*Wide-Eyed Diver,2,114,Ruby,Rare,$0.15,$0.47,Minnie Mouse,Wide-Eyed Diver
14,1,Minnie Mouse*Zipping Around,2,115,Ruby,Common,$0.05,$0.22,Minnie Mouse,Zipping Around
9,1,Mother Gothel*Withered and Wicked,2,116,Ruby,Uncommon,$0.18,$1.17,Mother Gothel,Withered and Wicked
12,2,Mulan*Soldier in Training,2,117,Ruby,Common,$0.07,$0.28,Mulan,Soldier in Training
7,1,Namaari*Nemesis,2,118,Ruby,Super Rare,$0.20,$0.46,Namaari,Nemesis
9,0,Queen of Hearts*Impulsive Ruler,2,119,Ruby,Uncommon,$0.25,$2.13,Queen of Hearts,Impulsive Ruler
11,0,Queen of Hearts*Sensing Weakness,2,120,Ruby,Uncommon,$0.28,$1.08,Queen of Hearts,Sensing Weakness
7,0,Ratigan*Very Large Mouse,2,121,Ruby,Rare,$0.16,$0.57,Ratigan,Very Large Mouse
15,1,Raya*Headstrong,2,122,Ruby,Common,$0.06,$0.19,Raya,Headstrong
6,0,Raya*Leader of Heart,2,123,Ruby,Super Rare,$0.20,$0.61,Raya,Leader of Heart
10,1,Raya*Warrior of Kumandra,2,124,Ruby,Uncommon,$0.07,$0.22,Raya,Warrior of Kumandra
5,1,Scar*Vicious Cheater,2,125,Ruby,Legendary,$4.78,$20.17,Scar,Vicious Cheater
8,1,Shere Khan*Menacing Predator,2,126,Ruby,Rare,$0.91,$1.53,Shere Khan,Menacing Predator
12,1,Tigger*One of a Kind,2,127,Ruby,Common,$0.06,$0.21,Tigger,One of a Kind
5,0,Tuk Tuk*Wrecking Ball,2,128,Ruby,Rare,$0.14,$0.45,Tuk Tuk,Wrecking Ball
12,1,Go the Distance,2,129,Ruby,Common,$0.08,$0.29,Go the Distance,
7,0,Teeth and Ambitions,2,130,Ruby,Rare,$0.45,$2.48,Teeth and Ambitions,
10,0,The Most Diabolical Scheme,2,131,Ruby,Uncommon,$0.07,$0.29,The Most Diabolical Scheme,
19,2,What Did You Call Me?,2,132,Ruby,Common,$0.04,$0.18,What Did You Call Me?,
10,2,You Can Fly!,2,133,Ruby,Uncommon,$0.07,$0.24,You Can Fly!,
6,1,Dinner Bell,2,134,Ruby,Rare,$0.14,$0.58,Dinner Bell,
16,0,Peter Pan's Dagger,2,135,Ruby,Common,$0.04,$0.21,Peter Pan's Dagger,
11,2,Sword in the Stone,2,136,Ruby,Uncommon,$0.06,$0.25,Sword in the Stone,
6,0,Alice*Growing Girl,2,137,Sapphire,Legendary,$4.11,$8.88,Alice,Growing Girl
8,0,Basil*Great Mouse Detective,2,138,Sapphire,Super Rare,$0.21,$0.67,Basil,Great Mouse Detective
18,1,Basil*Of Baker Street,2,139,Sapphire,Common,$0.05,$0.21,Basil,Of Baker Street
12,1,Basil*Perceptive Investigator,2,140,Sapphire,Common,$0.04,$0.17,Basil,Perceptive Investigator
7,1,Caterpillar*Calm and Collected,2,141,Sapphire,Uncommon,$0.13,$0.47,Caterpillar,Calm and Collected
6,1,Cogsworth*Grandfather Clock,2,142,Sapphire,Super Rare,$3.92,$6.86,Cogsworth,Grandfather Clock
14,1,Cogsworth*Talking Clock,2,143,Sapphire,Uncommon,$0.07,$0.30,Cogsworth,Talking Clock
17,4,Cruella De Vil*Fashionable Cruiser,2,144,Sapphire,Common,$0.04,$0.25,Cruella De Vil,Fashionable Cruiser
10,0,Cruella De Vil*Perfectly Wretched,2,145,Sapphire,Uncommon,$0.07,$0.29,Cruella De Vil,Perfectly Wretched
18,0,Duke Weaselton*Small-Time Crook,2,146,Sapphire,Common,$0.04,$0.19,Duke Weaselton,Small-Time Crook
5,2,Gaston*Intellectual Powerhouse,2,147,Sapphire,Rare,$0.15,$0.26,Gaston,Intellectual Powerhouse
9,0,Grand Pabbie*Oldest and Wisest,2,148,Sapphire,Super Rare,$0.35,$1.52,Grand Pabbie,Oldest and Wisest
9,0,Hiram Flaversham*Toymaker,2,149,Sapphire,Rare,$3.02,$19.65,Hiram Flaversham,Toymaker
12,2,James*Role Model,2,150,Sapphire,Common,$0.04,$0.18,James,Role Model
11,2,Jasmine*Heir of Agrabah,2,151,Sapphire,Common,$0.08,$0.32,Jasmine,Heir of Agrabah
7,0,Judy Hopps*Optimistic Officer,2,152,Sapphire,Uncommon,$0.08,$0.67,Judy Hopps,Optimistic Officer
9,0,Mrs. Judson*Housekeeper,2,153,Sapphire,Rare,$0.17,$0.45,Mrs. Judson,Housekeeper
11,1,Nick Wilde*Wily Fox,2,154,Sapphire,Uncommon,$0.13,$0.54,Nick Wilde,Wily Fox
10,0,Noi*Orphaned Thief,2,155,Sapphire,Rare,$0.23,$0.88,Noi,Orphaned Thief
16,1,Owl*Logical Lecturer,2,156,Sapphire,Common,$0.06,$0.21,Owl,Logical Lecturer
6,1,Prince Charming*Heir to the Throne,2,157,Sapphire,Rare,$0.23,$0.56,Prince Charming,Heir to the Throne
15,2,Rabbit*Reluctant Host,2,158,Sapphire,Common,$0.06,$0.18,Rabbit,Reluctant Host
5,1,Sisu*Divine Water Dragon,2,159,Sapphire,Legendary,$1.44,$7.23,Sisu,Divine Water Dragon
19,1,The Nokk*Water Spirit,2,160,Sapphire,Common,$0.05,$0.21,The Nokk,Water Spirit
8,0,Winnie the Pooh*Having a Think,2,161,Sapphire,Rare,$0.25,$0.89,Winnie the Pooh,Having a Think
8,0,Falling Down the Rabbit Hole,2,162,Sapphire,Rare,$0.15,$0.54,Falling Down the Rabbit Hole,
11,3,Four Dozen Eggs,2,163,Sapphire,Uncommon,$0.05,$0.38,Four Dozen Eggs,
11,0,Launch,2,164,Sapphire,Uncommon,$0.07,$0.30,Launch,
13,0,Nothing to Hide,2,165,Sapphire,Common,$0.07,$0.31,Nothing to Hide,
10,0,Fang Crossbow,2,166,Sapphire,Uncommon,$0.05,$0.35,Fang Crossbow,
12,1,Gumbo Pot,2,167,Sapphire,Common,$0.05,$0.21,Gumbo Pot,
5,2,Maurice's Workshop,2,168,Sapphire,Rare,$0.59,$5.41,Maurice's Workshop,
19,1,Pawpsicle,2,169,Sapphire,Common,$0.29,$11.63,Pawpsicle,
9,2,Sardine Can,2,170,Sapphire,Uncommon,$0.12,$0.34,Sardine Can,
18,3,Beast*Forbidding Recluse,2,171,Steel,Common,$0.07,$0.21,Beast,Forbidding Recluse
8,0,Beast*Selfless Protector,2,172,Steel,Super Rare,$0.26,$0.75,Beast,Selfless Protector
5,0,Beast*Tragic Hero,2,173,Steel,Legendary,$30.79,$55.16,Beast,Tragic Hero
22,1,Benja*Guardian of the Dragon Gem,2,174,Steel,Common,$0.09,$0.60,Benja,Guardian of the Dragon Gem
7,0,Chief Bogo*Respected Officer,2,175,Steel,Rare,$0.21,$1.33,Chief Bogo,Respected Officer
17,0,Cinderella*Knight in Training,2,176,Steel,Common,$0.09,$0.34,Cinderella,Knight in Training
10,1,Cinderella*Stouthearted,2,177,Steel,Super Rare,$1.76,$3.78,Cinderella,Stouthearted
15,2,Donald Duck*Deep-Sea Diver,2,178,Steel,Common,$0.05,$0.26,Donald Duck,Deep-Sea Diver
16,3,Eli La Bouff*Big Daddy,2,179,Steel,Uncommon,$0.05,$0.32,Eli La Bouff,Big Daddy
5,0,Goofy*Knight for a Day,2,180,Steel,Rare,$0.34,$1.04,Goofy,Knight for a Day
9,0,Hercules*Divine Hero,2,181,Steel,Rare,$0.45,$1.48,Hercules,Divine Hero
19,0,Hercules*Hero in Training,2,182,Steel,Common,$0.06,$0.28,Hercules,Hero in Training
10,1,Jafar*Dreadnought,2,183,Steel,Uncommon,$0.26,$1.05,Jafar,Dreadnought
11,2,Jafar*Royal Vizier,2,184,Steel,Common,$0.12,$0.33,Jafar,Royal Vizier
10,0,Kronk*Junior Chipmunk,2,185,Steel,Rare,$0.11,$0.54,Kronk,Junior Chipmunk
14,0,Lawrence*Jealous Manservant,2,186,Steel,Uncommon,$0.12,$7.34,Lawrence,Jealous Manservant
7,1,Li Shang*Archery Instructor,2,187,Steel,Uncommon,$0.10,$0.36,Li Shang,Archery Instructor
15,0,Magic Broom*Industrial Model,2,188,Steel,Common,$0.15,$0.34,Magic Broom,Industrial Model
5,0,Namaari*Morning Mist,2,189,Steel,Legendary,$1.17,$6.89,Namaari,Morning Mist
11,2,Pacha*Village Leader,2,190,Steel,Uncommon,$0.06,$0.26,Pacha,Village Leader
21,0,Prince Naveen*Penniless Royal,2,191,Steel,Common,$0.04,$0.16,Prince Naveen,Penniless Royal
6,2,Queen of Hearts*Capricious Monarch,2,192,Steel,Rare,$0.16,$0.54,Queen of Hearts,Capricious Monarch
14,0,Robin Hood*Capable Fighter,2,193,Steel,Uncommon,$0.26,$0.68,Robin Hood,Capable Fighter
8,0,The Huntsman*Reluctant Enforcer,2,194,Steel,Rare,$0.13,$0.53,The Huntsman,Reluctant Enforcer
12,0,The Prince*Never Gives Up,2,195,Steel,Uncommon,$0.11,$0.56,The Prince,Never Gives Up
8,1,Tiana*Celebrating Princess,2,196,Steel,Super Rare,$0.19,$0.24,Tiana,Celebrating Princess
19,2,Tiana*Diligent Waitress,2,197,Steel,Common,$0.04,$0.22,Tiana,Diligent Waitress
17,1,Charge!,2,198,Steel,Common,$0.08,$0.24,Charge!,
18,4,Let the Storm Rage On,2,199,Steel,Common,$0.73,$4.94,Let the Storm Rage On,
10,0,Pick a Fight,2,200,Steel,Uncommon,$0.13,$0.39,Pick a Fight,
9,2,Strength of a Raging Fire,2,201,Steel,Rare,$13.35,$27.20,Strength of a Raging Fire,
19,2,Last Cannon,2,202,Steel,Common,$0.05,$0.23,Last Cannon,
15,1,Mouse Armor,2,203,Steel,Uncommon,$0.05,$0.31,Mouse Armor,
8,0,Weight Set,2,204,Steel,Rare,$0.19,$0.77,Weight Set,
0,0,Cinderella*Ballroom Sensation,2,205,Amber,Enchanted,$308.20,$308.20,Cinderella,Ballroom Sensation
0,1,Snow White*Well Wisher,2,206,Amber,Enchanted,$93.09,$93.09,Snow White,Well Wisher
0,0,Arthur*Wizard's Apprentice,2,207,Amethyst,Enchanted,$47.22,$47.22,Arthur,Wizard's Apprentice
0,0,Madam Mim*Purple Dragon,2,208,Amethyst,Enchanted,$48.53,$48.53,Madam Mim,Purple Dragon
0,0,Pete*Bad Guy,2,209,Emerald,Enchanted,$43.57,$43.57,Pete,Bad Guy
0,0,Beast*Relentless,2,210,Emerald,Enchanted,$70.21,$70.21,Beast,Relentless
0,1,Lady Tremaine*Imperious Queen,2,211,Ruby,Enchanted,$111.66,$111.66,Lady Tremaine,Imperious Queen
0,0,Shere Khan*Menacing Predator,2,212,Ruby,Enchanted,$71.83,$71.83,Shere Khan,Menacing Predator
0,0,Alice*Growing Girl,2,213,Sapphire,Enchanted,$115.95,$115.95,Alice,Growing Girl
0,0,Sisu*Divine Water Dragon,2,214,Sapphire,Enchanted,$52.12,$52.12,Sisu,Divine Water Dragon
0,0,Hercules*Divine Hero,2,215,Steel,Enchanted,$62.15,$62.15,Hercules,Divine Hero
0,0,Namaari*Morning Mist,2,216,Steel,Enchanted,$45.76,$45.76,Namaari,Morning Mist
8,0,Baloo*von Bruinwald XIII,3,1,Amber,Rare,$0.68,$3.25,Baloo,von Bruinwald XIII
10,2,Bernard*Brand-New Agent,3,2,Amber,Rare,$0.13,$0.31,Bernard,Brand-New Agent
7,0,Chernabog*Evildoer,3,3,Amber,Super Rare,$0.37,$1.35,Chernabog,Evildoer
9,1,Dalmatian Puppy*Tail Wagger,3,4a,Amber,Common,$0.48,$0.73,Dalmatian Puppy,Tail Wagger
8,2,Dalmatian Puppy*Tail Wagger,3,4b,Amber,Common,$0.45,$0.84,Dalmatian Puppy,Tail Wagger
8,1,Dalmatian Puppy*Tail Wagger,3,4c,Amber,Common,$0.42,$0.87,Dalmatian Puppy,Tail Wagger
4,3,Dalmatian Puppy*Tail Wagger,3,4d,Amber,Common,$0.47,$0.94,Dalmatian Puppy,Tail Wagger
5,4,Dalmatian Puppy*Tail Wagger,3,4e,Amber,Common,$0.46,$0.73,Dalmatian Puppy,Tail Wagger
8,1,Joshua Sweet*The Doctor,3,5,Amber,Common,$0.03,$0.15,Joshua Sweet,The Doctor
8,1,Kida*Atlantean,3,6,Amber,Common,$0.07,$0.40,Kida,Atlantean
5,0,Kida*Protector of Atlantis,3,7,Amber,Legendary,$5.06,$9.89,Kida,Protector of Atlantis
11,1,Lucky*The 15th Puppy,3,8,Amber,Rare,$0.19,$0.71,Lucky,The 15th Puppy
10,2,Minnie Mouse*Musical Artist,3,9,Amber,Rare,$0.12,$0.42,Minnie Mouse,Musical Artist
8,1,Miss Bianca*Rescue Aid Society Agent,3,10,Amber,Common,$0.04,$0.20,Miss Bianca,Rescue Aid Society Agent
8,4,Mr. Snoops*Inept Businessman,3,11,Amber,Common,$0.04,$0.11,Mr. Snoops,Inept Businessman
8,1,Nani*Protective Sister,3,12,Amber,Uncommon,$0.04,$0.29,Nani,Protective Sister
8,1,Orville*Ace Pilot,3,13,Amber,Common,$0.04,$0.14,Orville,Ace Pilot
8,3,Patch*Intimidating Pup,3,14,Amber,Common,$0.03,$0.26,Patch,Intimidating Pup
9,2,Perdita*Devoted Mother,3,15,Amber,Legendary,$2.82,$5.48,Perdita,Devoted Mother
12,3,Piglet*Pooh Pirate Captain,3,16,Amber,Super Rare,$1.44,$5.33,Piglet,Pooh Pirate Captain
14,0,Pluto*Determined Defender,3,17,Amber,Rare,$0.10,$0.55,Pluto,Determined Defender
9,2,Pluto*Friendly Pooch,3,18,Amber,Uncommon,$0.11,$0.45,Pluto,Friendly Pooch
10,2,Pongo*Determined Father,3,19,Amber,Super Rare,$0.16,$0.42,Pongo,Determined Father
8,2,Queen of Hearts*Wonderland Empress,3,20,Amber,Uncommon,$0.10,$0.30,Queen of Hearts,Wonderland Empress
8,1,Rolly*Hungry Pup,3,21,Amber,Uncommon,$0.04,$0.35,Rolly,Hungry Pup
8,2,Tinker Bell*Generous Fairy,3,22,Amber,Uncommon,$0.05,$0.29,Tinker Bell,Generous Fairy
8,2,Wendy Darling*Talented Sailor,3,23,Amber,Uncommon,$0.08,$0.40,Wendy Darling,Talented Sailor
8,2,99 Puppies,3,24,Amber,Uncommon,$0.10,$0.41,99 Puppies,
8,4,Boss's Orders,3,25,Amber,Common,$0.07,$0.15,Boss's Orders,
8,0,Heal What Has Been Hurt,3,26,Amber,Common,$0.06,$0.22,Heal What Has Been Hurt,
8,1,Quick Patch,3,27,Amber,Common,$0.03,$0.14,Quick Patch,
12,0,The Bare Necessities,3,28,Amber,Rare,$0.56,$3.08,The Bare Necessities,
8,1,Cleansing Rainwater,3,29,Amber,Common,$0.03,$0.16,Cleansing Rainwater,
8,1,Heart of Atlantis,3,30,Amber,Rare,$0.15,$0.49,Heart of Atlantis,
8,1,Wildcat's Wrench,3,31,Amber,Uncommon,$0.05,$0.23,Wildcat's Wrench,
8,1,Never Land*Mermaid Lagoon,3,32,Amber,Common,$0.04,$0.29,Never Land,Mermaid Lagoon
9,0,Pride Lands*Pride Rock,3,33,Amber,Rare,$0.38,$1.18,Pride Lands,Pride Rock
8,2,Tiana's Palace*Jazz Restaurant,3,34,Amber,Uncommon,$0.10,$0.33,Tiana's Palace,Jazz Restaurant
9,0,Alice*Tea Alchemist,3,35,Amethyst,Super Rare,$0.16,$0.69,Alice,Tea Alchemist
15,0,Chernabog's Followers*Creatures of Evil,3,36,Amethyst,Uncommon,$1.58,$7.70,Chernabog's Followers,Creatures of Evil
8,2,Diablo*Faithful Pet,3,37,Amethyst,Common,$0.05,$0.19,Diablo,Faithful Pet
7,3,Genie*Supportive Friend,3,38,Amethyst,Super Rare,$0.21,$0.83,Genie,Supportive Friend
8,1,Hydros*Ice Titan,3,39,Amethyst,Uncommon,$0.08,$0.26,Hydros,Ice Titan
8,3,Iago*Pretty Polly,3,40,Amethyst,Common,$0.04,$0.17,Iago,Pretty Polly
8,1,Jafar*Lamp Thief,3,41,Amethyst,Uncommon,$0.09,$0.24,Jafar,Lamp Thief
6,0,Jafar*Striking Illusionist,3,42,Amethyst,Legendary,$4.88,$9.33,Jafar,Striking Illusionist
8,2,Lena Sabrewing*Rebellious Teenager,3,43,Amethyst,Common,$0.03,$0.15,Lena Sabrewing,Rebellious Teenager
8,1,Magic Broom*Dancing Duster,3,44,Amethyst,Uncommon,$0.10,$0.27,Magic Broom,Dancing Duster
8,3,Magic Broom*Swift Cleaner,3,45,Amethyst,Common,$0.07,$0.27,Magic Broom,Swift Cleaner
8,4,Magic Broom*The Big Sweeper,3,46,Amethyst,Common,$0.08,$0.31,Magic Broom,The Big Sweeper
8,2,Magic Carpet*Flying Rug,3,47,Amethyst,Common,$0.06,$0.16,Magic Carpet,Flying Rug
8,0,Magica De Spell*Ambitious Witch,3,48,Amethyst,Common,$0.04,$0.18,Magica De Spell,Ambitious Witch
9,3,Magica De Spell*The Midas Touch,3,49,Amethyst,Super Rare,$0.12,$0.53,Magica De Spell,The Midas Touch
8,3,Magica De Spell*Thieving Sorceress,3,50,Amethyst,Uncommon,$0.05,$0.20,Magica De Spell,Thieving Sorceress
6,2,Maleficent*Mistress of All Evil,3,51,Amethyst,Legendary,$1.57,$3.21,Maleficent,Mistress of All Evil
8,2,Mama Odie*Voice of Wisdom,3,52,Amethyst,Uncommon,$0.06,$0.27,Mama Odie,Voice of Wisdom
8,1,Pua*Potbellied Buddy,3,53,Amethyst,Common,$0.06,$0.17,Pua,Potbellied Buddy
9,2,Rafiki*Mystical Fighter,3,54,Amethyst,Rare,$0.34,$1.71,Rafiki,Mystical Fighter
10,0,Stratos*Tornado Titan,3,55,Amethyst,Rare,$0.15,$0.53,Stratos,Tornado Titan
8,2,The Firebird*Force of Destruction,3,56,Amethyst,Common,$0.06,$0.18,The Firebird,Force of Destruction
8,4,The Queen*Hateful Rival,3,57,Amethyst,Common,$0.05,$0.20,The Queen,Hateful Rival
9,1,Treasure Guardian*Protector of the Cave,3,58,Amethyst,Rare,$0.12,$0.36,Treasure Guardian,Protector of the Cave
10,2,Ursula*Sea Witch,3,59,Amethyst,Rare,$0.13,$0.33,Ursula,Sea Witch
8,4,Bestow a Gift,3,60,Amethyst,Common,$0.07,$0.12,Bestow a Gift,
8,1,It Calls Me,3,61,Amethyst,Uncommon,$0.14,$0.31,It Calls Me,
8,2,Last-Ditch Effort,3,62,Amethyst,Uncommon,$0.07,$0.27,Last-Ditch Effort,
11,3,The Boss Is On A Roll,3,63,Amethyst,Rare,$0.44,$0.87,The Boss Is On A Roll,
8,0,The Lamp,3,64,Amethyst,Rare,$0.17,$0.62,The Lamp,
14,2,The Sorcerer's Hat,3,65,Amethyst,Rare,$0.20,$0.76,The Sorcerer's Hat,
8,1,Forbidden Mountain*Maleficent's Castle,3,66,Amethyst,Common,$0.09,$0.18,Forbidden Mountain,Maleficent's Castle
